"","year","song","artist","peak_pos","weeks_on_chart","instance"
"6303",2014,"Take Me To Church","Matt McAndrew",92,1,1
"6304",2004,"Take My Breath Away","Jessica Simpson",59,16,1
"6305",2018,"Take One","Kodak Black",81,1,1
"6306",2011,"Take Over Control","Afrojack Featuring Eva Simons",96,20,1
"6307",2000,"Take That","Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",94,7,1
"6308",2002,"Take Ya Home","Lil Bow Wow",75,7,1
"6309",2008,"Take You Down","Chris Brown",99,20,1
"6310",2003,"Take You Home","Angie Martinez Featuring Kelis",95,5,1
"6311",2002,"Take You Home With Me a.k.a. Body","R. Kelly & Jay-Z",94,8,1
"6312",2001,"Take You Out","Luther Vandross",98,17,3
"6313",2008,"Take You There","Sean Kingston",81,25,1
"6314",2009,"Take Your Shirt Off","T-Pain",80,1,1
"6315",2015,"Take Your Time","Sam Hunt",93,32,1
"6316",2019,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",27,26,1
"6317",2006,"Takin' It To The Streets","Taylor Hicks",94,4,2
"6318",2018,"Takin' Shots","Post Malone",29,3,1
"6319",2018,"Taking A Walk","Trippie Redd",46,3,1
"6320",2008,"Taking Chances","Celine Dion",87,7,2
"6321",2009,"Taking Chances","Glee Cast",71,1,1
"6322",2000,"Taking You Home","Don Henley",79,20,1
"6323",2003,"Tal Vez","Ricky Martin",74,8,1
"6324",2006,"Talk","Coldplay",99,6,2
"6325",2019,"Talk","Khalid",44,18,1
"6326",2004,"Talk About Our Love","Brandy Featuring Kanye West",88,14,1
"6327",2014,"Talk Dirty","Jason Derulo Featuring 2 Chainz",89,33,1
"6328",2012,"Talk That Talk","Rihanna Featuring Jay-Z",100,20,2
"6329",2019,"Talk To Me","Tory Lanez & Rich The Kid",76,16,1
"6330",2018,"Talk Up","Drake Featuring JAY-Z",20,3,1
"6331",2019,"Talk You Out Of It","Florida Georgia Line",80,17,1
"6332",2010,"Talkin' 2 Myself","Eminem Featuring Kobe",88,1,1
"6333",2003,"Talkin' To Me","Amerie",70,15,1
"6334",2015,"Talking Body","Tove Lo",95,30,1
"6335",2015,"Talladega","Eric Church",90,20,1
"6336",2007,"Tambourine","Eve",72,17,1
"6337",2019,"Tap","NAV Featuring Meek Mill",89,1,1
"6338",2013,"Tapout","Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",100,20,1
"6339",2007,"Tarantula","The Smashing Pumpkins",54,2,1
"6340",2018,"Taste","Tyga Featuring Offset",82,29,1
"6341",2018,"TATI","6ix9ine Featuring DJ SPINKING",46,5,1
"6342",2008,"Tattoo","Jordin Sparks",58,31,1
"6343",2012,"Tattoo","Van Halen",67,1,1
"6344",2012,"Tattoos On This Town","Jason Aldean",81,20,1
"6345",2018,"Te Bote","Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",74,21,1
"6346",2008,"Te Quiero","Flex",99,17,3
"6347",2019,"Te Robare","Nicky Jam X Ozuna",95,5,1
"6348",2010,"Teach Me How To Dougie","Cali Swag District",91,20,1
"6349",2007,"teachme","Musiq Soulchild",92,20,1
"6350",2016,"Team","Iggy Azalea",42,8,1
"6351",2014,"Team","Lorde",90,38,1
"6352",2015,"Tear In My Heart","twenty one pilots",100,8,2
"6353",2004,"Tear It Up","Yung Wun Featuring DMX, Lil' Flip & David Banner",93,13,1
"6354",2008,"Teardrops On My Guitar","Taylor Swift",93,48,2
"6355",2011,"Teenage Daughters","Martina McBride",100,1,1
"6356",2010,"Teenage Dream","Glee Cast",8,3,1
"6357",2011,"Teenage Dream","Katy Perry",20,33,1
"6358",2017,"Teenage Fever","Drake",35,4,1
"6359",2008,"Teenage Love Affair","Alicia Keys",78,16,1
"6360",2007,"Teenagers","My Chemical Romance",87,20,1
"6361",2010,"Telephone","Glee Cast",23,1,1
"6362",2010,"Telephone","Lady Gaga Featuring Beyonce",30,33,1
"6363",2001,"Tell Her","Lonestar",75,20,1
"6364",2005,"Tell Me","Bobby Valentino",85,14,1
"6365",2007,"Tell Me","Diddy Featuring Christina Aguilera",62,20,1
"6366",2007,"Tell Me 'Bout It","Joss Stone",83,1,1
"6367",2003,"Tell Me (What's Goin' On)","Smilez & Southstar",66,16,1
"6368",2007,"Tell Me Baby","Red Hot Chili Peppers",99,19,2
"6369",2003,"Tell Me Something Bad About Tulsa","George Strait",72,7,1
"6370",2010,"Tell Me Something Good","Glee Cast",87,1,1
"6371",2009,"Tell Me Something I Don't Know","Selena Gomez",99,4,2
"6372",2002,"Tell Me What's It Gonna Be","Brian McKnight Featuring Jermaine Dupri",97,5,1
"6373",2006,"Tell Me When To Go","E-40 Featuring Keak Da Sneak",99,15,1
"6374",2018,"Tell Me You Love Me","Demi Lovato",97,19,2
"6375",2015,"Tell Your Friends","The Weeknd",54,3,1
"6376",2006,"Temperature","Sean Paul",74,31,1
"6377",2018,"Tempo","Chris Brown",96,4,2
"6378",2015,"Temporary Fix","One Direction",96,1,1
"6379",2010,"Temporary Home","Carrie Underwood",97,20,2
"6380",2019,"Temptation","Future",76,1,1
"6381",2005,"Tempted To Touch","Rupee",96,20,1
"6382",2014,"Ten Feet Tall","Afrojack Featuring Wrabel",100,1,1
"6383",2002,"Ten Rounds With Jose Cuervo","Tracy Byrd",73,20,1
"6384",2006,"Tengo Un Amor","Toby Love Featuring Rakim & Ken-Y",100,1,1
"6385",2016,"Tennessee Whiskey","Chris Stapleton",100,6,3
"6386",2014,"Tennis Court","Lorde",98,18,2
"6387",2019,"Tequila","Dan + Shay",87,50,3
"6388",2006,"Tequila Makes Her Clothes Fall Off","Joe Nichols",96,19,1
"6389",2018,"Testimony","Kodak Black",74,1,1
"6390",2000,"Tha Block Is Hot","Lil' Wayne Featuring Juvenile & B.G.",82,11,1
"6391",2000,"Thank God I Found You","Mariah Carey Featuring Joe & 98 Degrees",43,20,1
"6392",2019,"Thank U, Next","Ariana Grande",1,28,1
"6393",2001,"Thank You","Dido",80,39,1
"6394",2012,"Thank You","Estelle",100,1,1
"6395",2002,"Thank You","Lil Bow Wow Featuring Jagged Edge & Fundisha",95,5,1
"6396",2001,"Thank You For Loving Me","Bon Jovi",68,10,1
"6397",2001,"Thank You In Advance","Boyz II Men",90,4,1
"6398",2016,"That Don't Sound Like You","Lee Brice",98,11,1
"6399",2006,"That Girl","Frankie J Featuring Mannie Fresh & Chamillionaire",100,14,1
"6400",2003,"That Girl","Marques Houston",64,7,1
"6401",2000,"That Other Woman","Changing Faces",80,11,1
"6402",2016,"THat Part","ScHoolboy Q Featuring Kanye West",92,20,2
"6403",2010,"That Should Be Me","Justin Bieber",92,1,1
"6404",2008,"That Song In My Head","Julianne Hough",96,6,2
"6405",2012,"That Way","Wale Featuring Jeremih & Rick Ross",99,18,3
"6406",2003,"That'd Be Alright","Alan Jackson",74,20,1
"6407",2019,"That's A Rack","Lil Uzi Vert",76,5,1
"6408",2011,"That's All She Wrote","T.I. Featuring Eminem",18,5,1
"6409",2010,"That's How Country Boys Roll","Billy Currington",100,20,2
"6410",2001,"That's How I Beat Shaq","Aaron Carter",96,2,1
"6411",2018,"That's How You Feel","Drake",37,2,1
"6412",2002,"That's Just Jessie","Kevin Denney",98,17,1
"6413",2016,"That's My Girl","Fifth Harmony",73,3,1
"6414",2014,"That's My Kind Of Night","Luke Bryan",16,21,1
"6415",2009,"That's Not My Name","The Ting Tings",96,26,4
"6416",2018,"That's On Me","Yella Beezy",92,20,1
"6417",2007,"That's That","Snoop Dogg Featuring R. Kelly",85,16,1
"6418",2000,"That's The Kind Of Mood I'm In","Patty Loveless",98,14,1
"6419",2000,"That's The Way","Jo Dee Messina",78,20,1
"6420",2000,"That's The Way It Is","Celine Dion",17,28,1
"6421",2018,"That's What I Like","Bruno Mars",82,51,2
"6422",2005,"That's What I Love About Sunday","Craig Morgan",74,20,1
"6423",2000,"That's What I'm Looking For","Da Brat",93,18,1
"6424",2005,"That's What It's All About","Brooks & Dunn",76,20,1
"6425",2004,"That's What She Gets For Loving Me","Brooks & Dunn",73,14,1
"6426",2008,"That's What You Get","Paramore",99,17,1
"6427",2002,"That's When I Love You","Phil Vassar",77,20,1
"6428",2012,"That's Why I Pray","Big & Rich",99,10,1
"6429",2013,"The A Team","Ed Sheeran",95,33,1
"6430",2006,"The Adventure","Angels & Airwaves",92,14,1
"6431",2011,"The Adventures Of Rain Dance Maggie","Red Hot Chili Peppers",38,17,1
"6432",2003,"The Anthem","Good Charlotte",56,11,1
"6433",2008,"The Anthem","Pitbull Featuring Lil Jon",92,18,2
"6434",2003,"The Baby","Blake Shelton",76,20,1
"6435",2000,"The Bad Touch","Bloodhound Gang",70,12,1
"6436",2011,"The Ballad Of Mona Lisa","Panic! At The Disco",89,1,1
"6437",2000,"The Best Day","George Strait",73,20,1
"6438",2000,"The Best Man I Can Be","Ginuwine, R.L., Tyrese, Case",97,12,1
"6439",2014,"The Big Bang","Katy Tiz",100,1,1
"6440",2010,"The Big Bang","ROCKMAFIA",98,1,1
"6441",2015,"The Blacker The Berry","Kendrick Lamar",66,1,1
"6442",2014,"The Blower's Daughter","Matt McAndrew",40,1,1
"6443",2015,"The Body","Wale Featuring Jeremih",98,6,1
"6444",2008,"The Boss","Rick Ross Featuring T-Pain",84,20,1
"6445",2010,"The Boxer","Lee DeWyze",88,1,1
"6446",2010,"The Boy Is Mine","Glee Cast",76,1,1
"6447",2010,"The Boys of Fall","Kenny Chesney",96,18,1
"6448",2003,"The Boys Of Summer","The Ataris",71,18,1
"6449",2011,"The Breath You Take","George Strait",95,20,1
"6450",2008,"The Business","Yung Berg Featuring Casha",88,14,1
"6451",2001,"The Call","Backstreet Boys",60,6,1
"6452",2006,"The Carpal Tunnel Of Love","Fall Out Boy",81,1,1
"6453",2010,"The Catalyst","Linkin Park",99,10,2
"6454",2011,"The Cave","Mumford & Sons",99,20,1
"6455",2000,"The Chain Of Love","Clay Walker",73,20,1
"6456",2012,"The Champ","Nelly",64,3,1
"6457",2018,"The Champion","Carrie Underwood Featuring Ludacris",70,3,3
"6458",2000,"The Chemicals Between Us","Bush",67,20,1
"6459",2008,"The Chipmunk Song (Christmas Don't Be Late) (2007)","Alvin And The Chipmunks",70,2,1
"6460",2001,"The Christmas Shoes","NewSong",68,2,1
"6461",2019,"The Christmas Song","Lauren Daigle",90,2,1
"6462",2000,"The Christmas Song (Chestnuts Roasting On An Open Fire)","Christina Aguilera",18,4,1
"6463",2019,"The Christmas Song (Merry Christmas To You)","Nat King Cole",47,16,7
"6464",2009,"The Climb","Miley Cyrus",6,28,1
"6465",2002,"The Cowboy In Me","Tim McGraw",65,20,1
"6466",2011,"The Creep","The Lonely Island Featuring Nicki Minaj",82,1,1
"6467",2010,"The Crow & The Butterfly","Shinedown",97,1,1
"6468",2017,"The Cure","Lady Gaga",39,14,1
"6469",2018,"The Cut Off","J. Cole Featuring kiLL edward",28,1,1
"6470",2017,"The Dance","Lauren Duski",92,1,1
"6471",2008,"The Day That Never Comes","Metallica",85,10,2
"6472",2014,"The Days","Avicii",78,1,1
"6473",2014,"The Devil Is A Lie","Rick Ross Featuring Jay-Z",86,1,1
"6474",2006,"The Diary Of Jane","Breaking Benjamin",55,20,1
"6475",2016,"The Difference","Meek Mill Featuring Quavo",84,1,1
"6476",2011,"The Edge Of Glory","Lady Gaga",3,24,1
"6477",2010,"The End","Kings Of Leon",82,1,1
"6478",2009,"The Fear","Lily Allen",99,10,3
"6479",2016,"The Feeling","Justin Bieber Featuring Halsey",31,7,1
"6480",2012,"The Fighter","Gym Class Heroes Featuring Ryan Tedder",95,15,1
"6481",2017,"The Fighter","Keith Urban Featuring Carrie Underwood",69,23,3
"6482",2004,"The First Cut Is The Deepest","Sheryl Crow",75,36,1
"6483",2012,"The First Time Ever I Saw Your Face","Glee Cast",70,1,1
"6484",2016,"The Fix","Nelly Featuring Jeremih",94,20,2
"6485",2009,"The Fixer","Pearl Jam",56,7,1
"6486",2014,"The Fox","Ylvis",29,18,1
"6487",2003,"The Game Of Love","Santana Featuring Michelle Branch",66,37,1
"6488",2018,"The Games We Play","Pusha T",100,1,1
"6489",2006,"The Ghost Of You","My Chemical Romance",84,1,1
"6490",2019,"The Git Up","Blanco Brown",66,1,1
"6491",2002,"The Good Stuff","Kenny Chesney",70,20,1
"6492",2000,"The Great Beyond","R.E.M.",72,14,1
"6493",2007,"The Great Escape","Boys Like Girls",96,25,1
"6494",2017,"The Greatest","Sia Featuring Kendrick Lamar",52,23,1
"6495",2000,"The Greatest Romance Ever Sold","Prince",63,13,1
"6496",2018,"The Greatest Show","Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",95,4,1
"6497",2007,"The Hand Clap","Hurricane Chris Featuring Big Poppa",96,6,1
"6498",2005,"The Hand That Feeds","Nine Inch Nails",31,20,1
"6499",2015,"The Hanging Tree","James Newton Howard Featuring Jennifer Lawrence",12,17,1
"6500",2000,"The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)","2Gether",91,3,1
"6501",2014,"The Heart Of Dixie","Danielle Bradbery",97,13,4
"6502",2017,"The Heart Part 4","Kendrick Lamar",22,2,1
"6503",2015,"The Heart Wants What It Wants","Selena Gomez",25,20,1
"6504",2016,"The Hills","The Weeknd",20,48,1
"6505",2010,"The House That Built Me","Miranda Lambert",98,20,1
"6506",2002,"The Impossible","Joe Nichols",95,21,1
"6507",2009,"The Invitation","50 Cent",97,1,1
"6508",2001,"The Itch","Vitamin C",86,9,1
"6509",2003,"The Jump Off","Lil' Kim Featuring Mr. Cheeks",66,20,1
"6510",2002,"The Ketchup Song (Hey Hah)","Las Ketchup",76,9,1
"6511",2006,"The Kill (Bury Me)","Thirty Seconds To Mars",86,20,1
"6512",2014,"The Language","Drake",89,20,2
"6513",2011,"The Lazy Song","Bruno Mars",98,27,2
"6514",2000,"The Light","Common",75,19,1
"6515",2018,"The Light Is Coming","Ariana Grande Featuring Nicki Minaj",95,2,2
"6516",2001,"The Little Girl","John Michael Montgomery",81,20,1
"6517",2019,"The London","Young Thug, J. Cole & Travis Scott",12,3,1
"6518",2002,"The Long Goodbye","Brooks & Dunn",75,20,1
"6519",2018,"The Long Way","Brett Eldredge",93,12,1
"6520",2003,"The Love Song","Jeff Bates",73,12,1
"6521",2006,"The Lucky One","Faith Hill",93,9,1
"6522",2014,"The Man","Aloe Blacc",85,20,2
"6523",2010,"The Man I Want To Be","Chris Young",98,20,1
"6524",2010,"The Man Who Can't Be Moved","The Script",96,6,1
"6525",2011,"The Man Who Can't Be Moved","Xenia",92,1,1
"6526",2015,"The Matrimony","Wale Featuring Usher",87,19,1
"6527",2002,"The Middle","Jimmy Eat World",71,33,1
"6528",2018,"The Middle","Zedd, Maren Morris & Grey",23,40,1
"6529",2013,"The Moment I Knew","Taylor Swift",64,1,1
"6530",2014,"The Monster","Eminem Featuring Rihanna",3,29,1
"6531",2012,"The Motto","Drake Featuring Lil Wayne",18,35,1
"6532",2008,"The Music Of The Night","David Cook",77,1,1
"6533",2007,"The Neighbor","Dixie Chicks",74,1,1
"6534",2000,"The Next Episode","Dr. Dre Featuring Snoop Dogg",78,20,1
"6535",2015,"The Night Is Still Young","Nicki Minaj",98,17,2
"6536",2017,"The Night We Met","Lord Huron",99,4,1
"6537",2014,"The Old Rugged Cross","Craig Wayne Boyd",59,1,1
"6538",2000,"The One","Backstreet Boys",58,15,1
"6539",2002,"The One","Gary Allan",70,20,1
"6540",2009,"The One","Mary J. Blige Featuring Drake",63,10,1
"6541",2017,"The One","The Chainsmokers",91,2,1
"6542",2013,"The One That Got Away","Jake Owen",93,20,1
"6543",2012,"The One That Got Away","Katy Perry",94,24,1
"6544",2002,"The One You Love","Paulina Rubio",99,3,1
"6545",2006,"The Only Difference Between Martyrdom And Suicide Is Press Coverage","Panic! At The Disco",88,8,1
"6546",2010,"The Only Exception","Glee Cast",26,1,1
"6547",2010,"The Only Exception","Paramore",90,20,1
"6548",2013,"The Only Way I Know","Jason Aldean With Luke Bryan & Eric Church",93,20,1
"6549",2013,"The Other Side","Jason Derulo",75,21,1
"6550",2006,"The Other Side Of Me","Hannah Montana",84,1,1
"6551",2009,"The Other Side Of The Door","Taylor Swift",23,2,1
"6552",2004,"The Outsider","A Perfect Circle",100,5,2
"6553",2013,"The Outsiders","Eric Church",51,7,1
"6554",2006,"The Party's Just Begun","The Cheetah Girls",94,2,1
"6555",2013,"The Phoenix","Fall Out Boy",80,1,1
"6556",2006,"The Pick Of Destiny","Tenacious D",78,1,1
"6557",2017,"The Plan","G-Eazy",96,1,1
"6558",2012,"The Prayer","Christina Aguilera & Chris Mann",85,1,1
"6559",2008,"The Prayer (Live)","Celine Dion & Josh Groban",70,1,1
"6560",2008,"The Pretender","Foo Fighters",56,20,1
"6561",2000,"The Quittin' Kind","Joe Diffie",98,6,1
"6562",2018,"The Race","Tay-K",70,19,1
"6563",2011,"The Race","Wiz Khalifa",66,1,1
"6564",2000,"The Real Slim Shady","Eminem",70,19,1
"6565",2006,"The Real Thing","Bo Bice",98,16,1
"6566",2004,"The Reason","Hoobastank",62,38,1
"6567",2003,"The Red","Chevelle",77,20,1
"6568",2003,"The Remedy (I Won't Worry)","Jason Mraz",70,28,1
"6569",2018,"The Remedy For A Broken Heart (Why Am I So In Love)","XXXTENTACION",67,5,2
"6570",2017,"The Rest Of Our Life","Tim McGraw & Faith Hill",98,1,1
"6571",2006,"The Riddle","Five For Fighting",96,18,2
"6572",2018,"The Ringer","Eminem",8,4,1
"6573",2002,"The Rising","Bruce Springsteen",52,11,1
"6574",2007,"The River","Good Charlotte Featuring M. Shadows And Synyster Gates",97,6,2
"6575",2001,"The Rock Show","Blink-182",74,9,1
"6576",2000,"The Rockafeller Skank","Fatboy Slim",77,27,3
"6577",2007,"The Saints Are Coming","U2 & Green Day",100,9,2
"6578",2012,"The Scientist","Glee Cast",91,1,1
"6579",2019,"The Search","NF",70,1,1
"6580",2006,"The Seashores Of Old Mexico","George Strait",86,7,1
"6581",2004,"The Set Up","Obie Trice Featuring Nate Dogg",73,4,1
"6582",2011,"The Shape I'm In","Joe Nichols",98,2,1
"6583",2008,"The Shock Of The Lightning","Oasis",93,1,1
"6584",2011,"The Show Goes On","Lupe Fiasco",92,33,2
"6585",2016,"The Sound Of Silence","Disturbed",88,20,1
"6586",2001,"The Space Between","Dave Matthews Band",79,23,1
"6587",2002,"The Star Spangled Banner","Whitney Houston",50,27,2
"6588",2011,"The Story","Sara Ramirez",69,1,1
"6589",2007,"The Story (I Was Made For You)","Brandi Carlile",75,1,1
"6590",2017,"The Story Of O.J.","JAY-Z",23,3,1
"6591",2011,"The Story Of Us","Taylor Swift",98,12,2
"6592",2002,"The Streets","WC Featuring Nate Dogg",96,13,1
"6593",2007,"The Sweet Escape","Gwen Stefani Featuring Akon",93,40,1
"6594",2005,"The Talkin' Song Repair Blues","Alan Jackson",100,2,1
"6595",2011,"The Time (Dirty Bit)","The Black Eyed Peas",12,20,1
"6596",2008,"The Time Of My Life","David Cook",3,20,1
"6597",2012,"The Trouble With Girls","Scotty McCreery",98,18,3
"6598",2010,"The Truth","Jason Aldean",91,20,1
"6599",2003,"The Truth About Men","Tracy Byrd",79,5,1
"6600",2004,"The Voice Within","Christina Aguilera",62,16,1
"6601",2014,"The Walker","Fitz And The Tantrums",93,12,1
"6602",2013,"The Way","Ariana Grande Featuring Mac Miller",10,26,1
"6603",2001,"The Way","Jill Scott",84,20,1
"6604",2018,"The Way I Am","Charlie Puth",87,7,1
"6605",2000,"The Way I Am","Eminem",87,10,1
"6606",2008,"The Way I Am","Ingrid Michaelson",100,20,3
"6607",2008,"The Way I Are","Timbaland Featuring Keri Hilson",78,38,1
"6608",2007,"The Way I Live","Baby Boy Da Prince Featuring Lil Boosie",100,26,1
"6609",2008,"The Way I Loved You","Taylor Swift",72,1,1
"6610",2017,"The Way Life Goes","Lil Uzi Vert",39,7,1
"6611",2018,"The Way Life Goes","Lil Uzi Vert Featuring Nicki Minaj",39,22,1
"6612",2008,"The Way That I Love You","Ashanti",88,18,1
"6613",2001,"The Way You Love Me","Faith Hill",80,56,2
"6614",2004,"The Way You Move","OutKast Featuring Sleepy Brown",83,39,1
"6615",2018,"The Ways","Khalid & Swae Lee",63,3,1
"6616",2017,"The Weekend","Brantley Gilbert",95,20,1
"6617",2018,"The Weekend","SZA",89,24,1
"6618",2002,"The Whole World","OutKast Featuring Killer Mike",68,20,1
"6619",2005,"The Widow","The Mars Volta",97,2,1
"6620",2012,"The Wind","Zac Brown Band",99,11,1
"6621",2005,"The Woman With You","Kenny Chesney",73,17,1
"6622",2006,"The World","Brad Paisley",100,20,1
"6623",2008,"The World I Know","David Cook",28,1,1
"6624",2002,"The World's Greatest","R. Kelly",59,18,1
"6625",2014,"The Worst","Jhene Aiko",87,20,1
"6626",2003,"The Wreckoning","Boomkat",88,2,1
"6627",2003,"The Zephyr Song","Red Hot Chili Peppers",70,14,1
"6628",2009,"Then","Brad Paisley",35,20,1
"6629",2000,"Then The Morning Comes","Smash Mouth",14,26,1
"6630",2003,"Then They Do","Trace Adkins",74,13,1
"6631",2017,"There For You","Martin Garrix x Troye Sivan",94,1,1
"6632",2009,"There Goes My Baby","Charlie Wilson",98,2,1
"6633",2010,"There Goes My Baby","Usher",100,25,2
"6634",2004,"There Goes My Life","Kenny Chesney",78,20,1
"6635",2001,"There Is No Arizona","Jamie O'Neal",72,20,1
"6636",2006,"There It Go! (The Whistle Song)","Juelz Santana",88,24,1
"6637",2001,"There It Is","Ginuwine",82,10,1
"6638",2001,"There She Goes","Babyface",98,15,1
"6639",2000,"There She Goes","Sixpence None The Richer",32,20,1
"6640",2019,"There Was This Girl","Riley Green",91,8,2
"6641",2000,"There You Are","Martina McBride",79,13,1
"6642",2000,"There You Go","P!nk",25,32,1
"6643",2001,"There You'll Be","Faith Hill",46,20,1
"6644",2008,"There's Nothin","Sean Kingston Featuring Elan & Juelz Santana",92,8,1
"6645",2017,"There's Nothing Holdin' Me Back","Shawn Mendes",44,34,1
"6646",2007,"These Are My People","Rodney Atkins",94,20,1
"6647",2003,"These Are The Days","O-Town",64,5,1
"6648",2005,"These Boots Are Made For Walkin'","Jessica Simpson",33,11,1
"6649",2003,"These Days","Rascal Flatts",67,20,1
"6650",2017,"These Heaux","Bhad Bhabie",77,3,1
"6651",2015,"These Walls","Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",94,1,1
"6652",2005,"These Words","Natasha Bedingfield",100,20,1
"6653",2017,"They Don't Know","Jason Aldean",87,12,1
"6654",2014,"They Don't Know","Rico Love",100,7,1
"6655",2009,"Things That Matter","Rascal Flatts",85,1,1
"6656",2008,"Things That Never Cross A Man's Mind","Kellie Pickler",96,1,1
"6657",2017,"Think A Little Less","Michael Ray",90,16,1
"6658",2012,"Think Like A Man","Jennifer Hudson & Ne-Yo Featuring Rick Ross",90,2,1
"6659",2016,"Think Of You","Chris Young Duet With Cassadee Pope",86,20,1
"6660",2013,"Thinkin Bout You","Frank Ocean",85,28,1
"6661",2014,"Thinking About You","Calvin Harris Featuring Ayah Marar",93,6,1
"6662",2007,"Thinking About You","Norah Jones",82,2,1
"6663",2009,"Thinking Of You","Katy Perry",79,15,1
"6664",2015,"Thinking Out Loud","Ed Sheeran",69,58,1
"6665",2011,"This","Darius Rucker",92,20,2
"6666",2010,"This Afternoon","Nickelback",84,20,1
"6667",2007,"This Ain't A Scene, It's An Arms Race","Fall Out Boy",2,20,1
"6668",2010,"This Ain't No Love Song","Trace Adkins",100,6,1
"6669",2010,"This Ain't Nothin'","Craig Morgan",97,13,1
"6670",2008,"This Christmas","Chris Brown",89,5,1
"6671",2015,"This Could Be Us","Rae Sremmurd",94,20,1
"6672",2001,"This Everyday Love","Rascal Flatts",76,14,1
"6673",2019,"This Feeling","The Chainsmokers Featuring Kelsea Ballerini",98,20,3
"6674",2000,"This Gift","98 Degrees",53,3,1
"6675",2016,"This Girl","Kungs vs Cookin' On 3 Burners",91,14,1
"6676",2001,"This I Promise You","'N Sync",68,26,1
"6677",2018,"This Is America","Childish Gambino",1,17,1
"6678",2011,"This Is Country Music","Brad Paisley",65,15,1
"6679",2013,"This Is Gospel","Panic! At The Disco",87,1,1
"6680",2005,"This Is How A Heart Breaks","Rob Thomas",98,20,1
"6681",2003,"This Is How We Do","Big Tymers",98,3,1
"6682",2014,"This Is How We Do","Katy Perry",88,18,1
"6683",2014,"This Is How We Roll","Florida Georgia Line Featuring Luke Bryan",86,28,2
"6684",2019,"This Is It","Scotty McCreery",96,20,1
"6685",2008,"This Is Me","Demi Lovato & Joe Jonas",11,7,1
"6686",2001,"This Is Me","Dream",67,20,1
"6687",2018,"This Is Me","Keala Settle & The Greatest Showman Ensemble",87,14,3
"6688",2007,"This Is My Now","Jordin Sparks",15,4,1
"6689",2006,"This Is The Life","Hannah Montana",89,1,1
"6690",2003,"This Is The Night","Clay Aiken",1,16,1
"6691",2009,"This Is War","Thirty Seconds To Mars",72,1,1
"6692",2013,"This Is What It Feels Like","Armin van Buuren Featuring Trevor Guthrie",96,1,1
"6693",2016,"This Is What You Came For","Calvin Harris Featuring Rihanna",9,32,1
"6694",2007,"This Is Why I'm Hot","Mims",87,23,1
"6695",2012,"This Kiss","Carly Rae Jepsen",86,1,1
"6696",2004,"This Love","Maroon 5",66,43,1
"6697",2012,"This Ole Boy","Craig Morgan",92,9,1
"6698",2003,"This One's For The Girls","Martina McBride",73,20,1
"6699",2015,"This Summer's Gonna Hurt...","Maroon 5",67,13,1
"6700",2000,"This Time Around","Hanson",22,7,1
"6701",2017,"This Town","Niall Horan",63,22,1
"6702",2004,"This Way","Dilated Peoples Featuring Kanye West",78,5,1
"6703",2000,"This Woman Needs","SHeDAISY",82,9,1
"6704",2002,"This Woman's Work","Maxwell",99,15,2
"6705",2007,"Thnks Fr Th Mmrs","Fall Out Boy",67,28,1
"6706",2003,"Thoia Thoing","R. Kelly",70,20,1
"6707",2000,"Thong Song","Sisqo",74,28,1
"6708",2019,"Thotiana","Blueface",75,20,1
"6709",2018,"Thought I Knew You","Nicki Minaj Featuring The Weeknd",98,1,1
"6710",2017,"Three","Future & Young Thug",100,1,1
"6711",2003,"Three Wooden Crosses","Randy Travis",73,20,1
"6712",2013,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",96,49,2
"6713",2018,"Thriller","Michael Jackson",45,18,5
"6714",2011,"Thriller / Heads Will Roll","Glee Cast",75,2,1
"6715",2007,"Through Glass","Stone Sour",87,26,1
"6716",2008,"Through The Fire And Flames","DragonForce",86,5,1
"6717",2003,"Through The Rain","Mariah Carey",84,9,2
"6718",2004,"Through The Wire","Kanye West",94,21,1
"6719",2009,"Throw It In The Bag","Fabolous Featuring The-Dream",94,23,1
"6720",2007,"Throw Some D's","Rich Boy Featuring Polow Da Don",100,21,1
"6721",2015,"Throw Sum Mo","Rae Sremmurd Featuring Nicki Minaj & Young Thug",92,20,1
"6722",2012,"Throw That","Slaughterhouse Featuring Eminem",98,1,1
"6723",2018,"Thru Your Phone","Cardi B",50,3,1
"6724",2003,"Thug Holiday","Trick Daddy Featuring LaTocha Scott",96,9,1
"6725",2003,"Thug Lovin'","Ja Rule Featuring Bobby Brown",72,10,1
"6726",2005,"Thugs Get Lonely Too","2Pac Featuring Nate Dogg",100,4,2
"6727",2003,"Thugz Mansion","2Pac",50,20,1
"6728",2008,"Thunder","Boys Like Girls",88,13,1
"6729",2018,"Thunder","Imagine Dragons",70,51,1
"6730",2018,"Thunder/Young Dumb & Broke (Medley)","Imagine Dragons + Khalid",69,1,1
"6731",2018,"Thunderclouds","Labrinth, Sia & Diplo Present... LSD",95,5,2
